subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	confidence
NPO:401	gold nanoparticle	skos:exactMatch	CHEBI:50825	gold nanoparticle	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
NPO:1542	zinc oxide nanoparticle	skos:exactMatch	CHEBI:50836	zinc oxide nanoparticle	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
NPO:729	iron oxide nanoparticle	skos:exactMatch	CHEBI:50822	iron oxide nanoparticle	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
NPO:1892	silver nanoparticle	skos:exactMatch	CHEBI:50826	silver nanoparticle	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
NPO:1893	bimetallic nanoparticle	skos:exactMatch	CHEBI:52522	bimetallic nanoparticle	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
ENM:0000089	solubility	skos:exactMatch	BAO:0002135	solubility	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
OBI:0000891	Cell proliferation assay	skos:exactMatch	BAO:0002805	cell proliferation assay	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
BTO:0000018	A549	skos:exactMatch	EFO:0001086	A-549 cell	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
NPO:639	emulsion	skos:exactMatch	ENVO:00010506	emulsion	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
BAO:0002145	LC-50	skos:exactMatch	NPO:1196	LC-50	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
BAO:0000190	IC50	skos:exactMatch	NPO:1195	IC50	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
CHEBI:52855	inorganic nanoparticle	skos:exactMatch	NPO:1536	inorganic nanoparticle	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
IAO:0000120	western blot analysis	skos:exactMatch	NPO:1424	western blot analysis	semapv:HumanCuration	2023-09-12	orcid:0000-0002-4166-7093	1
